Imię,Nazwisko,Grupa,Średnia,Zaliczone
Krzysztof,Kamińska,A,4.83,6
Monika,Wiśniewski,B,4.67,6
Sebastian,Wesołowski,B,4.5,6
Joanna,Malinowski,B,4.5,6
Joanna,Musiał,A,4.33,6
Mateusz,Lewandowski,A,4.33,6
Grzegorz,Nowak,A,4.33,5
Mariusz,Nowicki,A,4.33,6
Alicja,Urbański,B,4.33,6
Karolina,Piotrowski,B,4.25,4
Dorota,Grabowski,A,4.2,5
Marcin,Jankowski,A,4.17,6
Elżbieta,Kowalski,A,4.17,6
Joanna,Gajewski,A,4.17,6
Halina,Sobczak,B,4.17,5
Aleksandra,Sikora,B,4.17,6
Jakub,Król,B,4.17,6
Wojciech,Michalski,B,4.17,6
Joanna,Szymański,B,4.17,6
Dominik,Wilk,A,4.0,6
Grzegorz,Malinowski,A,4.0,6
Piotr,Piotrowski,A,4.0,5
Barbara,Adamczyk,B,4.0,5
Tomasz,Lis,B,4.0,4
Halina,Nowak,B,4.0,6
Maciej,Borkowski,B,4.0,6
Maciej,Duda,A,3.83,6
Łukasz,Wójcik,A,3.83,6
Tomasz,Szymański,A,3.83,6
Łukasz,Sadowski,A,3.83,6
Karolina,Wróbel,B,3.83,6
Łukasz,Michalski,B,3.83,5
Szymon,Szymański,B,3.83,5
Weronika,Michalski,B,3.83,5
Magdalena,Wróbel,B,3.83,6
Dorota,Wójcik,B,3.83,5
Marcin,Wróbel,A,3.67,6
Tomasz,Malinowski,B,3.67,6
Patryk,Kubiak,B,3.67,5
Tomasz,Sawicki,A,3.6,5
Barbara,Sikora,A,3.6,5
Dominik,Nowicki,A,3.6,5
Dorota,Duda,A,3.5,5
Halina,Michalski,A,3.5,5
Jan,Kołodziej,A,3.5,5
Magdalena,Sobczak,B,3.5,4
Ewa,Sawicki,A,3.33,6
Zofia,Mazur,B,3.33,5
Grzegorz,Cieślak,A,3.17,5
Ewa,Zając,B,2.83,4
