Imię,Nazwisko,Grupa,Średnia
Tomasz,Sawicki,A,3.6
Marcin,Jankowski,A,4.17
Dominik,Wilk,A,4.0
Elżbieta,Kowalski,A,4.17
Dorota,Grabowski,A,4.2
Maciej,Duda,A,3.83
Barbara,Sikora,A,3.6
Joanna,Musiał,A,4.33
Dorota,Duda,A,3.5
Dominik,Nowicki,A,3.6
Mateusz,Lewandowski,A,4.33
Łukasz,Wójcik,A,3.83
Krzysztof,Kamińska,A,4.83
Halina,Michalski,A,3.5
Jan,Kołodziej,A,3.5
Tomasz,Szymański,A,3.83
Grzegorz,Nowak,A,4.33
Grzegorz,Cieślak,A,3.17
Łukasz,Sadowski,A,3.83
Grzegorz,Malinowski,A,4.0
Joanna,Gajewski,A,4.17
Ewa,Sawicki,A,3.33
Mariusz,Nowicki,A,4.33
Marcin,Wróbel,A,3.67
Piotr,Piotrowski,A,4.0
Karolina,Wróbel,B,3.83
Tomasz,Malinowski,B,3.67
Łukasz,Michalski,B,3.83
Barbara,Adamczyk,B,4.0
Halina,Sobczak,B,4.17
Aleksandra,Sikora,B,4.17
Sebastian,Wesołowski,B,4.5
Jakub,Król,B,4.17
Monika,Wiśniewski,B,4.67
Magdalena,Sobczak,B,3.5
Tomasz,Lis,B,4.0
Wojciech,Michalski,B,4.17
Szymon,Szymański,B,3.83
Joanna,Malinowski,B,4.5
Zofia,Mazur,B,3.33
Joanna,Szymański,B,4.17
Alicja,Urbański,B,4.33
Halina,Nowak,B,4.0
Karolina,Piotrowski,B,4.25
Weronika,Michalski,B,3.83
Magdalena,Wróbel,B,3.83
Dorota,Wójcik,B,3.83
Maciej,Borkowski,B,4.0
Ewa,Zając,B,2.83
Patryk,Kubiak,B,3.67
